sku,lensType,ODSphere,ODCylinder,ODAxis,ODAdd,OSSphere,OSCylinder,OSAxis,OSAdd,appearance,material,size,tint,addDate
1375,Bifocal,1.25,-1.25,78,3.50,1.00,-1.25,105,3.50,Neutral,-,Medium,N,20160402
1376,Bifocal,3.25,-1.00,112,2.75,3.25,-0.75,72,2.75,Neutral,Metal,Medium,N,20190919
1377,Bifocal,1.50,-0.50,96,2.00,1.50,-0.50,106,2.00,Neutral,Plastic,Medium,N,20090625
1378,Single,0.50,-0.50,90,0.00,0.50,-2.25,91,0.00,Feminine,-,Large,N,20140507
1379,Bifocal,1.25,-0.75,135,3.00,1.75,-1.00,88,3.00,Neutral,-,Medium,N,20150505
1380,Bifocal,2.25,-1.25,84,3.25,2.25,-1.25,92,3.25,Neutral,Metal,Large,N,20100513
1381,Bifocal,1.75,-0.75,165,2.75,1.00,-1.50,17,2.75,Feminine,-,Medium,N,20120619
1382,Bifocal,3.00,-0.75,71,2.25,3.00,-0.75,92,2.25,Neutral,-,Medium,N,20170513
1383,Bifocal,-0.75,-0.25,60,2.50,-2.25,-1.00,108,2.50,Neutral,Metal,Large,N,20190919
1384,Single,13.75,-0.75,98,0.00,13.25,-0.75,4,0.00,Neutral,-,Large,N,20140507
1385,Bifocal,2.25,-1.50,118,2.50,2.25,-1.50,118,2.50,Neutral,Plastic,Medium,N,20100513
1386,Bifocal,1.25,-1.25,99,2.50,2.25,-1.00,76,2.50,Feminine,Metal,Medium,N,20091113
1387,Bifocal,1.00,-0.50,141,2.00,1.50,-0.75,59,2.00,Neutral,-,Medium,N,20180420
1388,Bifocal,3.00,-0.75,101,2.00,3.00,-0.75,74,2.00,Neutral,-,Medium,N,20170513
1389,Single,16.50,-0.25,38,0.00,0.00,0.00,0,0.00,Neutral,Plastic,Small,-,20011120
1390,Bifocal,0.50,-0.75,121,2.50,1.00,-1.00,79,2.50,Neutral,-,Medium,N,20120619
1391,Bifocal,1.25,-1.00,46,2.50,0.75,-0.75,109,2.50,Neutral,-,Medium,N,20160402
1392,Bifocal,2.25,-0.75,96,3.00,2.25,-1.00,94,3.00,Neutral,-,Medium,N,20170513
1393,Bifocal,1.25,-0.50,116,1.50,2.00,-0.50,59,1.50,Neutral,-,Medium,N,20110427
1394,Bifocal,3.00,-2.00,96,3.00,1.25,-1.25,93,3.00,Neutral,-,Medium,N,20170513
1395,Bifocal,1.50,-0.50,6,3.00,1.50,-1.50,176,3.00,Neutral,Metal,Large,N,20090625
1396,Bifocal,1.00,-0.50,110,2.50,2.75,-0.50,91,2.50,Neutral,-,Large,N,20160402
1397,Bifocal,0.25,-0.25,155,2.75,1.50,-0.75,101,2.75,Feminine,-,Medium,N,20130418
1398,Bifocal,1.25,-0.50,138,2.75,0.50,-0.75,44,2.75,Feminine,-,Medium,N,20110427
1399,Bifocal,1.50,-1.00,69,3.25,1.25,-1.75,85,3.25,Feminine,-,Medium,N,20110427
1400,Bifocal,2.25,-0.50,95,3.25,2.25,-0.50,86,3.25,Neutral,Plastic,Large,N,20100513
1401,Bifocal,3.00,-0.50,98,2.25,3.75,-0.75,87,2.25,Feminine,Metal,Medium,N,20190919
1402,Bifocal,1.25,-0.50,99,2.75,2.25,-0.50,110,2.75,Neutral,-,Medium,N,20110427
1403,Bifocal,1.75,-0.50,69,1.00,2.75,-1.25,88,1.00,Neutral,-,Medium,L,20120619
1404,Bifocal,-1.00,0.00,0,2.50,-3.00,-1.75,85,2.50,Neutral,Metal,Small,N,20190919
1405,Bifocal,1.50,-0.50,100,3.25,0.75,-0.75,92,3.25,Neutral,Metal,Medium,N,20091029
1406,Bifocal,1.00,0.00,0,1.00,0.25,0.00,0,1.00,Neutral,-,Medium,N,20180420
1407,Bifocal,1.50,-0.50,134,2.00,1.25,-0.25,52,2.00,Neutral,Metal,Medium,N,20090625
1408,Bifocal,1.50,-0.75,129,3.00,1.50,-0.75,106,3.00,Neutral,Plastic,Medium,N,20090625
1409,Bifocal,3.00,-0.50,103,1.50,1.75,-0.25,78,1.50,Neutral,-,Medium,N,20170513
1410,Single,-6.00,0.00,0,0.00,-5.25,0.00,0,0.00,Neutral,-,Small,N,20140507
1411,Bifocal,1.00,-1.00,164,3.50,0.50,-1.00,15,3.50,Neutral,Metal,Small,N,20091029
1412,Bifocal,1.00,-1.00,162,3.00,0.50,-1.25,15,3.00,Feminine,Metal,Medium,N,20091029
1413,Bifocal,0.50,-0.25,90,1.25,0.00,-0.25,82,1.25,Neutral,-,Medium,N,20120619
1414,Bifocal,-5.75,-0.50,149,2.75,-7.25,-1.25,161,2.75,Neutral,Metal,Small,N,20190919
1415,Bifocal,0.50,-0.50,47,2.50,0.00,-2.25,175,2.50,Neutral,-,Medium,N,20120619
1416,Bifocal,3.00,-0.75,85,3.75,2.25,-0.50,90,3.75,Neutral,-,Medium,N,20170513
1417,Bifocal,0.75,-0.75,164,3.00,1.25,-1.50,150,3.00,Neutral,-,Small,N,20120619
1418,Bifocal,2.25,-0.75,102,2.25,2.25,-0.50,76,2.25,Neutral,Plastic,Medium,N,20100513
1419,Bifocal,1.25,-1.25,109,2.00,1.00,-0.75,48,2.00,Feminine,Plastic,Large,N,20091029
1420,Bifocal,3.25,0.00,0,2.00,3.00,-0.50,89,2.00,Neutral,-,Medium,N,20170513
1421,Bifocal,-1.25,-1.00,70,2.75,-1.75,0.00,0,2.75,Neutral,Metal,Small,N,20190919
1422,Bifocal,1.25,-0.25,90,2.00,2.50,0.00,0,2.00,Feminine,-,Medium,N,20110427
1423,Bifocal,1.50,-0.75,125,3.50,0.00,-1.50,98,3.50,Neutral,-,Small,N,20150505
1424,Bifocal,1.25,-1.00,99,3.00,1.75,-0.75,89,3.00,Feminine,-,Medium,N,20160402
1425,Bifocal,1.50,-0.50,54,2.75,0.00,0.00,0,2.75,Feminine,-,Medium,N,20110427
1426,Bifocal,1.25,-0.25,51,6.25,0.50,0.00,0,6.25,Neutral,-,Medium,N,20110427
1427,Bifocal,0.75,-0.25,4,3.00,0.50,-0.25,113,3.00,Neutral,-,Large,N,20180420
1428,Bifocal,0.25,-1.75,96,2.75,0.00,-1.00,81,2.75,Neutral,-,Medium,N,20130418
1429,Bifocal,1.25,-0.75,125,2.75,1.25,-1.00,82,2.75,Neutral,-,Medium,N,20150505
1430,Bifocal,-3.00,-2.00,135,2.50,-2.25,-2.00,44,2.50,Feminine,Plastic,Medium,N,20190919
1431,Bifocal,-2.25,-1.25,22,2.50,-3.00,-0.25,163,2.50,Feminine,Metal,Medium,N,20190919
1432,Bifocal,0.25,-0.50,139,2.25,0.25,-0.75,31,2.25,Feminine,-,Small,N,20130418
1433,Single,-5.50,0.00,0,0.00,-5.50,0.00,0,0.00,Neutral,-,Small,N,20140507
1434,Bifocal,0.75,-1.25,154,2.25,0.75,-1.50,165,2.25,Neutral,-,Medium,N,20180420
1435,Bifocal,-2.00,-0.50,9,2.00,-2.00,-1.00,173,2.00,Feminine,Metal,Large,N,20190920
1436,Bifocal,1.25,-0.50,91,2.00,0.75,-0.50,24,2.25,Neutral,-,Medium,N,20110427
1437,Bifocal,4.00,-0.50,20,3.00,3.00,-0.75,8,3.00,Feminine,-,Medium,N,20131021
1438,Bifocal,-0.50,-1.50,90,3.00,-1.00,-1.75,95,3.00,Neutral,Metal,Medium,N,20190920
1439,Bifocal,-1.00,-3.00,89,2.50,-0.75,-0.50,59,2.50,Feminine,Metal,Medium,N,20190920
1440,Bifocal,3.25,0.00,0,3.00,3.50,-1.25,170,3.00,Neutral,-,Medium,N,20170513
1441,Bifocal,1.00,-0.75,127,2.00,1.25,-0.75,50,2.00,Neutral,Plastic,Large,N,20091029
1442,Bifocal,3.25,-1.00,96,2.75,2.25,0.00,0,2.75,Neutral,-,Medium,N,20170513
1443,Bifocal,0.75,-2.00,99,1.50,0.75,-2.00,74,1.50,Neutral,-,Small,N,20180420
1444,Bifocal,0.75,-1.00,82,2.75,1.75,-1.00,150,2.75,Neutral,-,Medium,N,20160402
1445,Bifocal,0.50,-1.75,96,2.25,0.75,-2.00,76,2.25,Neutral,-,Large,N,20120619
1446,Bifocal,1.25,-0.25,79,1.00,1.50,0.00,0,1.00,Neutral,-,Medium,N,20110427
1447,Bifocal,-1.25,-0.50,90,2.50,-0.75,-0.50,85,2.50,Feminine,Metal,Medium,N,20190920
1448,Bifocal,3.00,-0.25,133,2.75,2.25,-0.25,69,2.75,Neutral,-,Medium,N,20170513
1449,Bifocal,0.50,-0.25,89,3.00,1.25,-0.50,97,3.00,Neutral,-,Small,N,20150506
1450,Bifocal,1.25,-0.50,33,2.75,1.75,-1.00,22,2.75,Neutral,-,Medium,N,20110427
1451,Bifocal,0.75,-2.25,98,2.50,0.75,-1.50,89,2.50,Neutral,-,Medium,N,20180420
1452,Bifocal,-0.50,-0.75,149,2.50,-1.00,-1.50,176,2.50,Feminine,-,Medium,N,20140620
1453,Bifocal,-1.00,-1.00,137,3.25,0.75,-2.75,89,3.25,Neutral,Metal,Large,N,20190920
1454,Bifocal,1.25,-0.50,98,3.00,1.00,-0.50,78,3.00,Feminine,-,Large,N,20150506
1455,Bifocal,0.50,-0.50,99,1.75,1.50,-0.50,95,1.75,Neutral,-,Small,N,20120619
1456,Bifocal,1.25,-1.00,28,2.25,2.00,-1.25,155,2.25,Feminine,-,Large,N,20110427
1457,Bifocal,1.00,-0.25,147,1.25,1.00,-0.25,42,1.25,Neutral,-,Small,N,20180420
1458,Single,-10.50,-1.00,15,0.00,-11.25,-0.75,165,0.00,Neutral,-,Small,N,20140507
1459,Bifocal,1.25,-0.25,114,2.75,1.25,-0.25,65,2.75,Neutral,-,Small,N,20110427
1460,Bifocal,0.50,-0.50,104,2.50,2.00,-0.75,81,2.50,Neutral,-,Medium,N,20160402
1461,Bifocal,-0.25,-0.25,109,2.75,0.25,-0.50,60,2.75,Feminine,Plastic,Large,N,20190920
1462,Bifocal,1.75,-0.50,61,2.00,1.50,-0.50,145,2.00,Neutral,Plastic,Medium,N,20090625
1463,Bifocal,1.25,-0.25,94,2.50,1.25,-0.50,135,2.50,Feminine,Metal,Medium,N,20091113
1464,Bifocal,0.50,-0.25,110,2.50,0.50,-0.50,96,2.25,Neutral,-,Medium,N,20110427
1465,Bifocal,0.25,-1.25,69,2.50,0.00,-0.25,65,2.50,Neutral,-,Medium,N,20150506
1466,Bifocal,0.75,-0.75,150,2.25,1.25,-1.00,30,2.25,Neutral,-,Medium,N,20180420
1467,Bifocal,1.00,0.00,0,2.75,1.00,-0.75,73,2.75,Neutral,-,Large,N,20160402
1468,Bifocal,1.25,0.00,0,2.25,1.00,-1.00,14,2.25,Feminine,-,Large,N,20130418
1469,Bifocal,1.00,-0.50,59,2.75,1.25,-0.50,118,2.50,Neutral,-,Medium,N,20110427
1470,Bifocal,1.00,0.00,0,2.75,2.25,-2.00,98,2.75,Neutral,-,Medium,N,20130418
1471,Bifocal,1.50,-0.75,93,1.75,1.25,-0.75,100,1.75,Neutral,Metal,Large,N,20090625
1472,Bifocal,0.50,0.00,0,2.00,0.25,-0.50,20,2.00,Neutral,-,Medium,N,20180420
1473,Bifocal,1.75,-0.75,108,2.25,1.50,-1.00,76,2.25,Neutral,Metal,Large,N,20090625
1474,Bifocal,0.25,-0.25,83,2.75,1.25,-1.25,19,2.75,Neutral,-,Medium,N,20180420
1475,Bifocal,0.25,-1.25,28,4.00,0.00,-1.00,74,4.00,Neutral,-,Medium,N,20160402
1476,Bifocal,1.75,-1.00,100,2.25,1.25,-1.25,90,2.25,Neutral,Metal,Medium,N,20090627
1477,Bifocal,1.50,-1.25,116,2.50,1.50,-0.75,79,2.50,Neutral,Plastic,Medium,N,20091029
1478,Bifocal,-3.75,-1.75,44,2.75,-5.50,-1.00,115,2.75,Feminine,Metal,Medium,N,20190920
1479,Bifocal,0.00,-0.75,144,2.25,1.00,-0.75,89,2.25,Neutral,-,Medium,N,20150506
1480,Bifocal,1.50,-1.50,5,3.25,1.00,-2.25,174,3.25,Neutral,Metal,Medium,N,20090627
1481,Bifocal,1.25,-1.75,88,1.75,1.00,-1.75,94,1.75,Neutral,-,Medium,N,20110427
1482,Bifocal,3.25,-0.50,104,3.00,2.75,-0.25,97,3.00,Feminine,-,Large,N,20170513
1483,Bifocal,0.25,-2.00,89,1.75,0.25,-1.50,99,1.75,Neutral,-,Medium,N,20180420
1484,Bifocal,0.25,-0.75,81,3.25,1.50,0.00,0,3.25,Neutral,-,Medium,N,20150506
1485,Bifocal,2.75,-1.25,117,3.00,2.50,-1.25,95,3.00,Neutral,-,Medium,N,20170513
1486,Single,0.00,-1.00,119,0.00,1.25,-1.50,86,0.00,Neutral,-,Medium,N,20130418
1487,Bifocal,1.25,-0.50,167,2.50,2.00,-0.75,18,2.50,Neutral,-,Large,N,20110427
1488,Bifocal,0.00,-0.75,90,1.00,0.25,-0.50,80,1.00,Neutral,Metal,Medium,N,20090627
1489,Bifocal,0.00,-0.50,130,2.25,0.00,-0.25,92,2.25,Neutral,-,Medium,N,20130418
1490,Bifocal,0.75,-2.00,96,3.25,0.75,-1.50,84,3.25,Neutral,-,Medium,N,20160402
1491,Single,-12.25,-0.50,2,0.00,-12.75,-0.75,149,0.00,Neutral,-,Small,N,20140507
1492,Bifocal,1.50,-1.25,26,2.75,1.75,-1.00,139,2.75,Neutral,-,Medium,N,20131021
1493,Bifocal,0.00,-0.50,52,1.50,1.00,0.00,0,1.50,Neutral,-,Small,N,20150506
1494,Bifocal,2.75,-1.50,91,2.50,2.50,-1.25,66,2.50,Neutral,-,Small,N,20170513
1495,Bifocal,0.50,-0.25,103,1.75,-0.25,-0.75,62,1.75,Feminine,-,Large,N,20110427
1496,Bifocal,-1.00,-1.75,110,2.00,-2.50,-0.75,60,2.00,Neutral,Metal,Medium,N,20190920
1497,Bifocal,-1.75,0.00,0,2.75,-0.25,-0.75,180,2.75,Neutral,Metal,Large,N,20190920
1498,Bifocal,1.00,-2.00,35,2.75,1.50,-0.25,145,2.75,Neutral,-,Medium,N,20140620
1499,Bifocal,1.00,-0.25,115,1.75,1.50,-0.50,90,1.75,Feminine,Plastic,Large,N,20091113
1500,Bifocal,3.50,-0.50,86,3.50,3.50,-0.25,92,3.50,Neutral,-,Medium,N,20170513
1501,Bifocal,1.50,-0.50,168,2.25,1.75,-0.25,45,2.25,Neutral,Metal,Large,N,20090627
1502,Bifocal,-1.50,-1.50,108,3.50,-1.50,-0.75,62,3.50,Feminine,Plastic,Medium,N,20190920
1503,Bifocal,1.00,-1.25,25,2.50,0.75,-0.50,0,2.75,Feminine,-,Small,N,20110427
1504,Bifocal,0.25,-0.75,115,1.50,0.00,-0.50,70,1.50,Neutral,-,Small,N,20160402
1505,Bifocal,0.75,-1.00,111,3.00,0.50,-0.75,65,3.00,Neutral,-,Medium,N,20160402
1506,Bifocal,1.00,-0.50,102,3.25,1.00,0.00,0,3.25,Neutral,-,Large,N,20140620
1507,Bifocal,3.50,-1.00,101,2.25,3.50,-0.50,61,2.25,Neutral,-,Medium,N,20170513
1508,Bifocal,0.50,-0.25,92,2.00,0.75,-0.25,64,2.00,Feminine,-,Large,N,20120620
1509,Bifocal,0.00,-1.00,102,2.50,0.00,-0.50,123,2.50,Neutral,-,Small,N,20150506
1510,Bifocal,-1.00,-0.25,26,2.75,-1.25,-0.25,3,2.75,Feminine,Metal,Medium,N,20190920
1511,Bifocal,-1.00,-0.25,166,2.25,-2.00,-1.50,58,2.25,Feminine,Metal,Medium,N,20190920
1512,Bifocal,1.00,-0.75,90,1.50,0.50,-1.00,88,1.50,Neutral,-,Small,N,20110427
1513,Single,-0.75,-0.50,95,0.00,-0.50,-0.75,91,0.00,Neutral,-,Small,N,20140507
1514,Bifocal,1.25,-1.25,169,2.25,1.00,-0.50,41,2.25,Neutral,-,Small,N,20110427
1515,Bifocal,-1.75,0.00,0,2.50,-2.00,0.00,0,2.50,Neutral,Metal,Medium,N,20190920
1516,Bifocal,1.50,-1.25,106,2.50,1.50,-1.00,78,2.50,Neutral,Metal,Large,N,20090627
1517,Bifocal,0.00,0.00,0,2.50,0.50,-1.50,30,2.50,Neutral,-,Medium,N,20130418
1518,Bifocal,1.50,-1.00,66,5.50,1.75,-0.75,150,5.50,Neutral,Metal,Medium,N,20091113
1519,Bifocal,1.00,-2.00,118,2.50,0.50,-1.75,41,2.50,Neutral,-,Medium,N,20110427
1520,Bifocal,2.75,-0.75,60,2.50,2.00,-0.50,140,2.50,Neutral,-,Medium,N,20170513
1521,Bifocal,3.25,-1.00,91,2.25,3.25,-1.25,80,2.25,Neutral,Metal,Medium,N,20190920
1522,Bifocal,-6.00,-0.50,137,1.75,-7.25,-0.25,94,1.75,Neutral,Metal,Medium,N,20190920
1523,Bifocal,1.50,-0.25,39,1.00,2.00,0.00,0,1.00,Neutral,Plastic,Medium,N,20100513
1524,Bifocal,3.00,-1.00,100,3.00,2.00,0.00,0,3.00,Neutral,-,Small,N,20170513
1525,Bifocal,4.25,-0.75,115,3.25,3.25,-1.00,70,3.25,Neutral,-,Small,N,20140620
1526,Bifocal,0.25,-1.25,10,2.50,0.00,-1.00,108,2.50,Feminine,-,Large,N,20120620
1527,Bifocal,2.00,-0.25,146,2.50,2.25,-0.25,99,2.50,Feminine,Plastic,Large,N,20091113
1528,Bifocal,0.25,-0.75,174,3.00,0.50,-1.25,77,3.00,Feminine,-,Medium,N,20120620
1529,Bifocal,-1.25,-0.75,97,2.00,-0.75,-0.25,72,2.00,Neutral,Plastic,Medium,N,20190920
1530,Bifocal,0.50,-1.50,107,3.50,1.00,-1.25,103,3.50,Neutral,-,Small,N,20150506
1531,Bifocal,2.75,-0.50,82,3.25,2.00,-1.25,165,3.25,Neutral,-,Medium,N,20170513
1532,Bifocal,3.25,-1.00,92,1.75,2.75,-0.25,160,1.75,Neutral,-,Small,N,20170513
1533,Bifocal,0.00,-1.00,170,0.50,0.25,-0.75,168,0.50,Neutral,-,Small,N,20180420
1534,Bifocal,3.00,-0.75,90,2.25,2.50,-0.75,80,2.25,Neutral,-,Medium,N,20170513
1535,Bifocal,-1.00,0.00,0,2.50,-2.00,-0.50,25,2.50,Neutral,Metal,Medium,N,20190920
1536,Bifocal,1.50,-0.50,130,2.25,1.25,-0.50,61,2.25,Neutral,Plastic,Medium,N,20090627
1537,Bifocal,2.50,0.00,0,1.50,2.50,0.00,0,1.50,Neutral,-,Small,N,20130418
1538,Bifocal,0.00,-0.50,88,3.25,0.25,-1.00,40,3.25,Feminine,-,Medium,N,20110427
1539,Bifocal,0.25,-0.25,141,2.25,1.00,-0.50,93,2.25,Neutral,-,Large,N,20120620
1540,Bifocal,0.25,-1.00,2,2.50,0.50,-1.25,12,2.50,Neutral,-,Large,N,20120620
1541,Bifocal,0.00,-0.50,77,1.00,0.00,-0.25,82,1.00,Neutral,-,Medium,N,20180420
1542,Bifocal,2.00,-0.25,139,2.75,0.75,-0.75,109,2.75,Neutral,Plastic,Medium,N,20091113
1543,Single,-7.25,0.00,0,0.00,-6.25,0.00,0,0.00,Neutral,Plastic,Medium,N,20090627
1544,Bifocal,2.75,-1.75,48,2.25,1.75,-2.25,128,2.25,Neutral,-,Medium,N,20170513
1545,Bifocal,3.00,-0.25,61,2.50,3.25,-0.25,123,2.50,Neutral,-,Medium,N,20170513
1546,Bifocal,1.50,-0.75,41,3.25,1.50,-0.25,153,3.25,Neutral,Metal,Medium,N,20090627
1547,Bifocal,0.75,-0.50,80,3.00,2.25,0.00,0,3.00,Neutral,-,Medium,N,20130418
1548,Bifocal,0.75,-1.50,88,3.50,1.00,-1.75,90,3.50,Neutral,-,Medium,N,20160402
1549,Bifocal,0.25,-1.00,82,2.25,0.00,-1.00,100,2.25,Neutral,-,Medium,N,20180420
1550,Bifocal,-0.75,-0.75,1,2.75,-0.50,0.00,0,2.75,Neutral,Metal,Large,N,20190920
1551,Bifocal,-0.25,-0.50,90,2.75,-1.50,0.00,0,2.75,Feminine,Plastic,Medium,N,20190920
1552,Bifocal,0.75,-0.75,61,1.75,1.25,-0.75,115,1.75,Neutral,-,Large,N,20120620
1553,Bifocal,0.75,-1.75,111,1.75,1.00,-1.25,91,1.75,Neutral,-,Medium,N,20180420
1554,Bifocal,-0.50,-1.25,110,2.75,-1.25,-0.50,55,2.75,Feminine,Metal,Medium,N,20190920
1555,Bifocal,0.00,-1.25,83,2.50,1.00,-0.75,112,2.50,Neutral,-,Small,N,20150506
1556,Bifocal,3.25,-0.25,85,3.25,2.75,-0.25,92,3.25,Neutral,-,Small,N,20170513
1557,Single,-0.50,-1.00,86,0.00,0.25,-1.00,81,0.00,Neutral,-,Small,N,20140507
1558,Bifocal,0.25,0.00,0,1.25,0.00,-2.00,18,1.25,Neutral,-,Large,N,20160402
1559,Bifocal,2.25,-0.50,48,2.75,2.25,-1.25,102,2.75,Neutral,Plastic,Large,N,20090627
1560,Bifocal,0.75,-0.75,77,2.75,1.25,-1.25,104,2.75,Neutral,-,Medium,N,20160402
1561,Bifocal,3.50,-0.50,22,2.75,3.25,-0.75,149,2.75,Feminine,-,Large,N,20170513
1562,Bifocal,1.25,-0.50,176,2.75,1.00,-0.75,178,2.75,Feminine,-,Medium,N,20110427
1563,Bifocal,2.00,-0.50,98,2.75,2.00,-0.50,82,2.75,Neutral,-,Large,N,20150506
1564,Bifocal,1.75,-0.50,139,2.75,0.50,-1.25,9,2.75,Neutral,-,Small,N,20170513
1565,Bifocal,-0.25,-0.75,103,3.00,-0.75,0.00,0,3.00,Neutral,Plastic,Medium,N,20190920
1566,Bifocal,-3.25,-0.25,167,1.75,-3.50,-0.25,18,1.75,Neutral,Metal,Small,N,20190920
1567,Bifocal,1.00,-0.50,105,2.00,0.50,-0.25,80,2.00,Neutral,Metal,Medium,N,20090627
1568,Bifocal,3.00,-0.75,68,3.00,3.00,-1.75,106,3.00,Neutral,Plastic,Large,N,20090627
1569,Single,-0.25,-0.50,97,0.00,-1.00,-0.75,19,0.00,Neutral,-,Small,N,20140507
1570,Bifocal,1.50,-0.50,54,3.25,1.25,-0.75,81,3.25,Neutral,Plastic,Medium,N,20091029
1571,Bifocal,0.75,-0.75,171,2.25,1.50,-1.00,83,2.25,Neutral,-,Medium,N,20180420
1572,Single,-2.50,0.00,0,0.00,-2.25,0.00,0,0.00,Neutral,Metal,Small,N,20110510
1573,Bifocal,2.25,-0.50,86,2.75,2.50,-0.50,111,2.75,Neutral,-,Small,N,20150506
1574,Bifocal,0.50,-0.50,56,3.25,0.25,-0.75,132,3.25,Neutral,-,Medium,N,20180420
1575,Bifocal,3.75,-0.50,166,4.00,4.50,-2.25,162,4.00,Feminine,-,Medium,N,20170513
1576,Bifocal,0.75,-0.25,43,2.00,1.25,-0.25,86,2.00,Neutral,-,Medium,N,20180420
1577,Bifocal,-0.75,-0.25,75,2.75,-1.50,-0.75,74,2.75,Neutral,Metal,Medium,N,20190920
1578,Bifocal,-0.75,0.00,0,1.50,-0.75,0.00,0,1.50,Feminine,Plastic,Large,N,20190920
1579,Bifocal,-3.00,-0.75,81,1.50,-2.75,-1.00,105,1.50,Feminine,Metal,Small,N,20190920
1580,Bifocal,0.50,-1.00,60,2.50,0.25,-1.00,95,2.50,Feminine,-,Small,N,20180420
1581,Bifocal,2.00,-1.00,33,3.00,3.25,-2.25,166,3.00,Neutral,-,Medium,N,20150506
1582,Single,-3.75,-0.50,3,0.00,-4.00,-0.75,10,0.00,Neutral,Metal,Medium,N,20110510
1583,Bifocal,3.50,-0.50,21,1.50,3.25,-0.25,69,1.50,Neutral,-,Medium,N,20170513
1584,Single,-0.50,-0.25,100,0.00,-0.75,-0.50,88,0.00,Feminine,Metal,Small,N,20190920
1585,Bifocal,0.50,-0.50,91,3.00,1.50,-0.75,100,3.00,Neutral,-,Medium,N,20160402
1586,Bifocal,2.00,-0.50,60,2.75,1.75,-0.25,119,2.75,Neutral,-,Medium,N,20150506
1587,Single,-0.75,-0.50,108,0.00,-1.00,-0.75,174,0.00,Neutral,-,Small,N,20140507
1588,Bifocal,-7.50,-0.75,171,2.50,-10.00,-0.50,65,2.50,Neutral,-,Medium,N,20120620
1589,Bifocal,-0.25,-1.00,43,2.75,-0.50,-1.50,94,2.75,Feminine,Metal,Large,N,20190920
1590,Bifocal,4.00,-0.50,137,3.25,2.75,-0.75,82,3.25,Neutral,-,Small,N,20140620
1591,Single,-1.75,-0.25,19,0.00,-1.75,0.00,0,0.00,Neutral,Metal,Medium,N,20110510
1592,Bifocal,1.50,-1.00,89,1.75,2.50,-0.75,71,1.75,Neutral,Metal,Medium,N,20091029
1593,Bifocal,-0.25,-2.50,89,2.25,-0.50,-2.00,86,2.25,Neutral,Metal,Medium,N,20190920
1594,Bifocal,-0.50,0.00,0,3.75,-1.25,0.00,0,3.75,Neutral,Metal,Medium,N,20190920
1595,Bifocal,0.25,0.00,0,1.50,1.00,-0.50,114,1.50,Neutral,-,Medium,N,20180420
1596,Bifocal,2.50,-0.75,88,2.25,1.75,-0.50,31,2.25,Neutral,-,Medium,N,20111102
1597,Single,-2.00,-0.50,93,0.00,-2.00,-0.25,92,0.00,Neutral,Plastic,Small,N,20110510
1598,Single,-1.00,-0.25,129,0.00,0.00,-1.25,38,0.00,Neutral,Plastic,Small,N,20110510
1599,Bifocal,0.75,-1.25,32,2.75,0.25,-1.25,167,2.75,Neutral,Metal,Large,N,20100513
1600,Bifocal,0.25,-0.75,97,2.50,2.00,0.00,0,2.50,Neutral,-,Medium,N,20180420
1601,Bifocal,1.00,-1.00,120,2.25,0.50,-1.00,72,2.25,Neutral,-,Large,N,20130418
1602,Single,-0.75,-1.25,174,0.00,-2.25,-0.50,26,0.00,Neutral,-,Small,N,20140507
1603,Bifocal,-0.50,-0.50,91,2.00,-0.50,0.00,0,2.00,Feminine,Plastic,Medium,N,20190920
1604,Bifocal,1.25,-0.50,90,2.25,1.00,-0.25,86,2.25,Neutral,Metal,Large,N,20100513
1605,Bifocal,1.25,-1.75,7,2.50,0.50,-1.00,8,2.50,Neutral,Plastic,Medium,N,20091030
1606,Bifocal,2.50,-1.50,62,2.25,0.75,-0.50,85,2.25,Neutral,-,Small,N,20150506
1607,Bifocal,0.50,-0.50,98,2.50,1.75,-0.50,78,2.50,Neutral,-,Small,N,20160402
1608,Single,-2.50,-0.75,83,0.00,-3.25,0.00,0,0.00,Neutral,Metal,Medium,N,20110510
1609,Bifocal,0.00,-0.75,21,2.00,0.50,-0.50,165,2.00,Neutral,Metal,Medium,N,20190920
1610,Bifocal,-0.50,-0.25,103,3.25,0.50,-1.00,68,3.25,Feminine,Plastic,Medium,N,20190920
1611,Single,-5.25,-0.75,174,0.00,-5.00,-1.00,9,0.00,Neutral,Metal,Small,N,20110510
1612,Bifocal,2.75,-1.75,91,1.75,3.00,-1.25,80,1.75,Neutral,Metal,Medium,N,20190921
1613,Bifocal,0.50,-1.75,97,3.00,0.00,-1.00,97,3.00,Neutral,-,Medium,N,20160402
1614,Bifocal,0.75,0.00,0,2.00,0.75,-0.25,40,2.00,Feminine,-,Medium,N,20180420
1615,Bifocal,-5.25,-0.50,140,2.50,-4.25,-0.50,70,2.50,Neutral,-,Medium,N,20120620
1616,Bifocal,1.75,-1.25,54,2.25,0.75,-2.25,87,2.25,Neutral,-,Large,N,20140620
1617,Bifocal,-2.75,-0.25,1,1.50,-2.75,-0.25,176,1.50,Neutral,-,Medium,N,20120620
1618,Bifocal,0.75,-0.50,145,3.25,0.00,-0.50,98,3.25,Neutral,Metal,Medium,N,20100513
1619,Single,-1.00,-0.50,87,0.00,-1.50,-0.50,76,0.00,Neutral,Metal,Small,N,20110510
1620,Bifocal,1.00,-0.25,150,2.00,0.50,-0.25,4,2.00,Feminine,Metal,Medium,N,20190921
